FID,CTYUA22CD,CTYUA22NM,CTYUA22NMW,BNG_E,BNG_N,LONG,LAT,Shape__Area,Shape__Length,GlobalID
1,E06000001,Hartlepool, ,447160,531474,-1.27018,54.67614,93717028.4689178,70995.1737762769,c6d63f75-e86d-42dd-933f-81fcba396819
2,E06000002,Middlesbrough, ,451141,516887,-1.21099,54.54467,53881558.2759247,44479.6463704945,84fc4817-9273-447e-8e15-54ec8c6b1f62
3,E06000003,Redcar and Cleveland, ,464361,519597,-1.00608,54.56752,245069510.006897,96703.5106544218,e666ccc0-5857-4a72-a593-b6fa4bacf82b
4,E06000004,Stockton-on-Tees, ,444940,518183,-1.30664,54.55691,204932934.937302,123404.959102325,a755ad64-72b4-4458-8b16-0989fccea42c
5,E06000005,Darlington, ,428029,515648,-1.56835,54.53534,197477753.555023,107202.299425244,a7f705de-2208-4bcb-957c-9982fbfbcce2
6,E06000006,Halton, ,354246,382146,-2.68853,53.33424,79084021.970459,77769.8366156168,243655ba-1daa-42cc-aaa3-4bc373ac2715
7,E06000007,Warrington, ,362744,388456,-2.56167,53.39163,180627983.012016,114688.093563908,c7d350c7-2110-4bd9-aedf-672e9fd090d8
8,E06000008,Blackburn with Darwen, ,369490,422806,-2.4636,53.7008,137022093.525848,65284.3735150369,d5536e0f-16a1-40db-b266-6f43997977e4
9,E06000009,Blackpool, ,332819,436635,-3.02199,53.82164,34870852.2283325,34480.7839275111,22eb8940-aa33-4de8-a1a6-cc55879e5b5e
10,E06000010,"Kingston upon Hull, City of", ,511894,431650,-0.30382,53.7692,71583595.6552734,64680.530906749,408a499b-417f-470b-b0ea-5cb088a18a34
11,E06000011,East Riding of Yorkshire, ,488056,443597,-0.66195,53.88112,2404768954.86182,504120.094305933,2e891a15-a9bb-4d0e-9006-5f3dad1efbd1
12,E06000012,North East Lincolnshire, ,523465,404564,-0.13911,53.52327,192622802.067429,93246.2944329948,8e5864d7-d28f-4854-80fd-5119abff26e5
13,E06000013,North Lincolnshire, ,497800,410993,-0.52407,53.58643,846540343.8815,244546.737679894,f6c171bd-7e55-4a35-9bf1-a2702e477aea
14,E06000014,York, ,460864,452589,-1.07375,53.96582,271931454.715424,102020.797435209,33fda612-67c1-4a52-b00f-81e79f90757b
15,E06000015,Derby, ,435609,335375,-1.47189,52.91464,78031107.3557892,50036.3185804889,e364e1bf-22fa-4214-a2f3-dec8b544c049
16,E06000016,Leicester, ,458946,304594,-1.1304,52.63592,73342034.1657257,51929.4942082033,22b215f2-0ff9-4f18-964e-faf8b643285b
17,E06000017,Rutland, ,492992,308655,-0.6263,52.66765,393749191.434662,125879.344271146,3fecdc86-9d63-48e3-8ca5-82bead68cfd5
18,E06000018,Nottingham, ,456082,339969,-1.16667,52.95419,74613549.3099365,58723.7427401093,af582136-2e17-4935-acf8-0d7eaaaf49fa
19,E06000019,"Herefordshire, County of", ,349434,242834,-2.73931,52.08154,2179708317.85796,349869.988254535,7c87cc1e-9408-442c-8f1a-67fa7e686079
20,E06000020,Telford and Wrekin, ,367035,313057,-2.48941,52.71417,290313536.554543,118775.749483715,9cb52f5c-7c31-4476-bc43-983ba003e799
21,E06000021,Stoke-on-Trent, ,389438,346652,-2.15888,53.01707,93448551.6496658,63971.3417170554,20c28e8c-c3f0-41b8-9f9f-35c2e8780230
22,E06000022,Bath and North East Somerset, ,366217,161999,-2.48654,51.35604,351123167.510914,141674.070852301,8402b457-18f0-4faa-86d1-5eefa18e0a44
23,E06000023,"Bristol, City of", ,359990,174846,-2.57742,51.47115,109666892.551918,109531.617064517,938ea858-08d1-4e39-a0b9-01266435fb85
24,E06000024,North Somerset, ,347614,166718,-2.75438,51.39706,374637219.77409,154748.225043695,c41991c8-4483-4848-94f1-9fd9b7b6a369
25,E06000025,South Gloucestershire, ,367559,183198,-2.46922,51.54673,497050998.431568,143098.847233425,2d497bf8-0910-417c-925b-d06441b1cd31
26,E06000026,Plymouth, ,249945,58255,-4.11297,50.40494,79849695.3191061,92644.2442555715,166a81e9-20ab-40a0-acff-3d8b9dc2e40d
27,E06000027,Torbay, ,289730,64613,-3.55523,50.47092,62886738.7989531,77909.5315513595,3de68b47-7681-42ac-93a5-887e90ea78eb
28,E06000030,Swindon, ,418551,186564,-1.73367,51.57763,230093343.90052,103011.758683882,84ef2dfc-3b51-4baf-8a04-83d764dbdce5
29,E06000031,Peterborough, ,517372,300777,-0.26874,52.59214,343378091.557068,112674.354887358,1c82975d-aee2-4ed7-a123-672604524621
30,E06000032,Luton, ,508606,222559,-0.42319,51.89102,43352485.6740799,34569.1847138739,1def2bfa-d85a-4b99-b20b-595e26e7abd4
31,E06000033,Southend-on-Sea, ,587777,186837,0.706923,51.54917,41673985.9965286,57782.8327652349,d555383e-bcd9-43eb-96ac-cca4a823ab04
32,E06000034,Thurrock, ,562123,181590,0.334861,51.50998,163837060.033562,115990.648083053,ac78b406-ca67-45c9-ba32-687cd2edb83f
33,E06000035,Medway, ,578207,175198,0.563174,51.44772,193714210.347961,249512.121639654,80c45495-d248-42bb-8ee2-9041665af363
34,E06000036,Bracknell Forest, ,488169,168792,-0.73363,51.4113,109384217.921951,62507.6688894678,9f1ce1ab-edda-4e23-92cc-8d50e91514ac
35,E06000037,West Berkshire, ,450575,172095,-1.27364,51.44559,704182731.436508,166818.256909513,210f427d-fdab-4b5e-b68a-eead5fa14662
36,E06000038,Reading, ,470226,173154,-0.99071,51.45302,40397937.1150055,39327.6361285706,02f646c8-4fba-4cc7-b56b-8d2102d629ee
37,E06000039,Slough, ,498920,179246,-0.57617,51.5035,32542015.6781998,44179.9803340002,2198a21b-67e2-4dba-b06e-f7ab2075d3e7
38,E06000040,Windsor and Maidenhead, ,492079,176541,-0.67541,51.48034,198427158.641678,114827.85425453,1b406345-4925-4867-9023-40a0195b0c82
39,E06000041,Wokingham, ,476624,169902,-0.89935,51.42296,178969062.886101,86869.6892364658,78d69645-7a37-462e-b6f8-f619f0283a5d
40,E06000042,Milton Keynes, ,486408,242308,-0.7407,52.07241,308626721.690674,102957.957280917,0b05ed3e-dd1b-4d0e-8163-be979f7354a2
41,E06000043,Brighton and Hove, ,530279,106850,-0.15079,50.8465,82832986.3240891,59517.9984461413,4a5afa20-0f1c-4f9e-b3e8-30a80b584605
42,E06000044,Portsmouth, ,465619,101352,-1.07006,50.808,40381702.3692169,62708.2022736547,06b3e61d-2585-492c-be3a-71660a821dc0
43,E06000045,Southampton, ,442303,113700,-1.39952,50.9212,49880631.5834122,61542.7955829543,fd81c59d-75ef-4f9a-b871-a48195252bf0
44,E06000046,Isle of Wight, ,447183,85949,-1.33366,50.67129,379620110.286783,210137.73230538,7515a149-7863-4dd5-9d77-c8411ba55aa4
45,E06000047,County Durham, ,410381,532242,-1.8405,54.68513,2231432414.12584,315226.483631744,9fc76232-7394-49d1-9123-07331f17df0b
46,E06000049,Cheshire East, ,380510,363462,-2.29299,53.16793,1166357340.22478,301202.123887001,d2d298eb-7777-4ba4-b1f1-d102e1c43dd8
47,E06000050,Cheshire West and Chester, ,353097,363145,-2.70298,53.16336,920018024.621178,335602.059504914,5c48992d-19d6-430c-a8db-a0a37e23f4e1
48,E06000051,Shropshire, ,350227,302960,-2.73667,52.62212,3197275322.15964,580599.506306279,2c540b00-f4e2-42be-a0b6-248d7664b2eb
49,E06000052,Cornwall, ,212497,64493,-4.64254,50.45022,3548939126.92263,1241696.51353641,a0df2d2d-84cc-40c5-9de6-ffaa5b65f5b6
50,E06000053,Isles of Scilly, ,91327,11447,-6.30217,49.92332,16317752.1032921,117979.163844593,7020ec19-5c98-49b0-9031-a648240e4434
51,E06000054,Wiltshire, ,405209,158863,-1.92661,51.32883,3255338105.52649,401997.073738198,8fc7f24d-254c-4709-a2bc-d596320903fa
52,E06000055,Bedford, ,505721,256463,-0.45463,52.19628,476408313.581512,131719.277394327,839692fd-6f86-49d3-b280-cdf73cf10950
53,E06000056,Central Bedfordshire, ,504615,234492,-0.47754,51.99903,715665436.200249,232685.180099795,d990d7de-fbb2-46fb-8331-559ca79f6423
54,E06000057,Northumberland, ,395322,600700,-2.07523,55.30038,5032312670.59779,606236.97163611,21f2f2ea-f485-4e83-9fdc-81946c7e7ec6
55,E06000058,"Bournemouth, Christchurch and Poole", ,410815,94066,-1.84807,50.74609,162070069.443581,169170.190930922,3b8e9e03-0f10-48c3-b7ba-6979575fd695
56,E06000059,Dorset, ,370871,99796,-2.41467,50.79697,2490956549.68954,594350.704732187,ad7effe2-921d-4a74-becb-ce3c5866c8d6
57,E06000060,Buckinghamshire, ,482506,208561,-0.80569,51.76966,1564937984.73737,361907.474854908,cf26c853-8f9b-497d-901c-c55d8651072d
58,E06000061,North Northamptonshire, ,493590,281718,-0.62504,52.42546,986594539.258675,210624.118632151,4dfae0d2-b772-4fd3-8bc9-75f09a1a5eab
59,E06000062,West Northamptonshire, ,467187,263879,-1.01682,52.26898,1380395590.74594,263780.515769498,771be2af-e8b7-45c8-a520-321ee2afdf43
60,E08000001,Bolton, ,368352,409873,-2.47952,53.58449,139792040.674789,82643.5197746864,aafe415d-2270-4c13-af95-ae56322fa783
61,E08000002,Bury, ,379658,410768,-2.3088,53.5931,99460098.088501,68535.7621537225,c6bcd0b1-4ce5-4059-9076-0af42477e0fa
62,E08000003,Manchester, ,384591,397063,-2.23359,53.47009,115648443.590103,86841.9510631882,deed1fcd-0759-4466-8172-261daf6c7f09
63,E08000004,Oldham, ,396603,406784,-2.05274,53.55768,142344867.617081,71145.2166053481,82c80244-96c5-4a53-9f6d-e35c43a2b558
64,E08000005,Rochdale, ,390315,412326,-2.14784,53.60741,158128218.886078,82706.3709034793,e0550f17-b299-4a16-b364-ded36dad1b43
65,E08000006,Salford, ,374556,398128,-2.38485,53.47927,97197259.633194,63262.7594028187,2b232898-9c42-4f56-ba33-f7752ab3a197
66,E08000007,Stockport, ,391806,388264,-2.12467,53.39116,126040348.490097,73631.0890907973,988debda-dd0e-454f-a4fd-c2e82a3fb364
67,E08000008,Tameside, ,394987,397995,-2.077,53.47867,103154247.722641,55973.0550571155,4d6f4954-6aa0-4571-9263-4da3cfb45a58
68,E08000009,Trafford, ,375790,391162,-2.36572,53.41671,106044604.785675,60714.9991313479,6928813a-4505-45d4-adc2-6b3161a781d9
69,E08000010,Wigan, ,362136,402125,-2.57247,53.51444,188171014.795837,88682.4116794718,5b8c7ece-a693-47e3-a5aa-bb2e95378abe
70,E08000011,Knowsley, ,344762,393778,-2.83297,53.43788,86500031.7274017,68163.8832839651,0d721d9e-bad3-42ba-9a8f-39799c653be5
71,E08000012,Liverpool, ,339361,390553,-2.91364,53.4083,111835593.626411,62696.5993588289,6f1e7a60-47b3-4dfe-bb28-f7c09948606f
72,E08000013,St. Helens, ,353412,395992,-2.7031,53.45862,136358780.853088,76379.812216368,fcce65c7-9acd-4f4c-a587-3a2c4b2d39d8
73,E08000014,Sefton, ,334282,398832,-2.99177,53.4821,156578258.79126,130341.257310849,080b2e13-67ef-4982-9a10-3e860265b1a9
74,E08000015,Wirral, ,329110,386965,-3.06701,53.37478,160922004.907288,133924.121231149,6edfb7be-f423-4ef3-a9a8-5ee4bbceb83f
75,E08000016,Barnsley, ,429979,403327,-1.54925,53.52577,329077576.743942,126418.480693044,589bfd0d-29c0-492a-8cf0-92a793383c58
76,E08000017,Doncaster, ,459167,403735,-1.10894,53.52697,568006431.217484,171113.010006791,b69db6fa-1057-45d9-9ed5-29bdd6081c8d
77,E08000018,Rotherham, ,447542,388980,-1.28651,53.39553,286534378.866501,106146.658844867,5e6afa3a-2da2-4041-b25c-e8d800d37315
78,E08000019,Sheffield, ,430511,389736,-1.54254,53.40358,367929997.213348,132824.242952116,54813234-2318-4c8a-9ae6-0fd21d64c9b5
79,E08000021,Newcastle upon Tyne, ,422287,569661,-1.65297,55.021,113451801.243317,65213.8280471217,5353179b-6880-498c-a2f9-fa3b8ce4c992
80,E08000022,North Tyneside, ,431471,570602,-1.50923,55.02896,82300621.1451874,65595.8023921869,305b7cbc-1209-47b2-a79e-2f7cd81641fc
81,E08000023,South Tyneside, ,435514,564057,-1.44679,54.96988,64420334.6034393,51335.0171606378,691f7b6e-ea5e-4355-8b76-52663e289560
82,E08000024,Sunderland, ,436470,551524,-1.43344,54.85719,137436290.144424,99821.9690448938,0e8f4480-9ae3-4dfa-b4a0-361f3be0c24b
83,E08000025,Birmingham, ,408150,287352,-1.88141,52.48404,267791151.73967,106250.794014248,9b2c2662-51b1-4791-9beb-6d1ef61f11c0
84,E08000026,Coventry, ,432807,279689,-1.51908,52.41423,98639088.6562881,54052.4494128151,a094836c-98e6-4c74-9c9d-47ae15cb679a
85,E08000027,Dudley, ,393191,288584,-2.10171,52.49513,97958229.5149384,75372.2907122196,8e8791ea-97ac-482c-b639-472dbe80c91d
86,E08000028,Sandwell, ,399573,290764,-2.00771,52.51477,85558906.1847763,59201.6852450065,82597e68-9671-4e22-be51-b6cfdfe08f8a
87,E08000029,Solihull, ,419434,281483,-1.71558,52.431,178282023.161247,101023.266819082,5f40ead1-436e-414a-92b6-6013f272cd82
88,E08000030,Walsall, ,402098,300804,-1.97044,52.60503,103973530.000946,59399.7390444176,37e6e99d-5b0f-4aff-b632-d531b1078c08
89,E08000031,Wolverhampton, ,391463,300016,-2.12746,52.59788,69436685.1266327,56050.1278266087,0f13f609-cd63-4dda-bf4a-3c799fd5cfaa
90,E08000032,Bradford, ,408395,438626,-1.87389,53.84382,366419689.51532,135914.965732405,652278ac-5138-4d40-a55f-dba153675e95
91,E08000033,Calderdale, ,402617,424896,-1.96182,53.72048,363960946.597305,107684.893783348,965f429a-8460-4cd5-8388-6d35db3aed90
92,E08000034,Kirklees, ,414586,416223,-1.78085,53.64233,408551667.407288,125665.908370181,72b81fe6-d328-4553-b1ee-08e10a362397
93,E08000035,Leeds, ,432528,436384,-1.50736,53.82273,551706498.093048,161516.600530211,eff824ad-f4ec-4e53-a879-b76a0e9a870d
94,E08000036,Wakefield, ,438366,418235,-1.42092,53.65922,338619719.483505,109444.438663069,cb239988-0e08-44a8-b24d-b20301108e51
95,E08000037,Gateshead, ,420158,559652,-1.68696,54.93115,142339149.241318,90175.8152669966,e322f1f5-cbd9-4cd8-abcc-05538a5dfc92
96,E09000001,City of London, ,532381,181359,-0.09353,51.51565,2890318.44403076,9377.81467502522,c9cb97d2-cf14-43c9-ad96-6e79bdad1e46
97,E09000002,Barking and Dagenham, ,547757,185111,0.129479,51.54555,36101437.8558884,40864.8498879451,d50f3cce-0bc5-40b8-bcd7-dc85f5d8939f
98,E09000003,Barnet, ,523472,191753,-0.21821,51.61108,86748227.8831329,50815.5975177389,3de3f037-847a-43e9-b86f-e820d2c8286b
99,E09000004,Bexley, ,549202,175434,0.146212,51.45822,60578408.1245193,47931.4230818983,0989e370-0f00-469d-a574-11fec434c26e
100,E09000005,Brent, ,519615,186468,-0.27568,51.56441,43232684.1274872,38331.001751277,f93f53cd-029a-48b8-a0a2-cec249205e98
101,E09000006,Bromley, ,542036,165708,0.039246,51.37267,150130427.159538,76141.6277070387,b06d7106-55cc-431e-b94e-6cfc5c04a833
102,E09000007,Camden, ,527492,184284,-0.16289,51.54306,21789308.595253,26149.495598481,266c5702-e962-423b-a52b-2b79949b6c11
103,E09000008,Croydon, ,533922,164745,-0.07761,51.36598,86496808.3293228,58688.2842361555,17ebd696-5975-4594-ab29-fd50d2909617
104,E09000009,Ealing, ,517057,181960,-0.31407,51.52443,55544376.032196,47432.5829098616,95dd519b-ff4f-429e-af1a-40be286f16ba
105,E09000010,Enfield, ,532829,196197,-0.08147,51.64888,82200174.297287,41061.1111768429,181bd6ce-e396-406b-93d7-e53afb0f81b4
106,E09000011,Greenwich, ,542507,175879,0.050093,51.46394,47307031.4329834,47566.9752848355,a37dc5af-118e-44aa-9cd3-bbecb386cecd
107,E09000012,Hackney, ,534560,185787,-0.06045,51.55492,19046912.9773788,25374.028868182,c43c836f-4744-4777-afb7-357ee4996590
108,E09000013,Hammersmith and Fulham, ,523867,177993,-0.21735,51.48733,16403545.8968506,23966.1399241039,46e42790-3465-4088-b23e-511a5000ec15
109,E09000014,Haringey, ,531262,189349,-0.10667,51.58771,29598417.6468964,29011.100205627,cb9cbc61-3ef6-4097-8f6a-86d5bc9d12e9
